===== XGBoost Model Results =====

Hyperparameters:
objective: multi:softmax
num_class: 12
max_depth: 2
learning_rate: 0.05
lambda: 3
alpha: 1
subsample: 0.8
colsample_bytree: 0.7
seed: 42

Optimal Boosting Rounds: 120

Cross-Validation Results:
     train-mlogloss-mean  train-mlogloss-std  train-merror-mean  train-merror-std  test-mlogloss-mean  test-mlogloss-std  test-merror-mean  test-merror-std
0               2.320661            0.000477           0.224491          0.004004            2.321578           0.004038          0.229271         0.011576
1               2.187810            0.001473           0.203900          0.010982            2.189929           0.006245          0.211042         0.019344
2               2.065963            0.001663           0.169711          0.003369            2.068701           0.008423          0.175937         0.015704
3               1.967690            0.001862           0.169086          0.002879            1.971532           0.010664          0.173437         0.012195
4               1.879960            0.002189           0.164363          0.004122            1.884268           0.012057          0.170417         0.010917
5               1.803816            0.002216           0.158333          0.003555            1.808763           0.013433          0.163125         0.012802
6               1.734128            0.002240           0.156701          0.003518            1.739712           0.014381          0.162396         0.012338
7               1.667844            0.002340           0.158218          0.006449            1.673634           0.015665          0.163854         0.014849
8               1.606446            0.002481           0.161435          0.004372            1.612655           0.016123          0.167292         0.015075
9               1.547574            0.002811           0.160220          0.003218            1.553968           0.016935          0.164896         0.009905
10              1.494658            0.002907           0.157674          0.002343            1.501513           0.017730          0.162396         0.010061
11              1.443924            0.002867           0.153495          0.002267            1.451038           0.018025          0.158542         0.010394
12              1.397429            0.002967           0.151701          0.001808            1.404934           0.018216          0.158646         0.009224
13              1.354098            0.002943           0.149965          0.002236            1.361954           0.018528          0.155833         0.009036
14              1.314154            0.002776           0.145787          0.003565            1.322375           0.018506          0.152396         0.008163
15              1.275995            0.002687           0.143345          0.003479            1.284464           0.018757          0.149583         0.010807
16              1.240266            0.002619           0.142523          0.001885            1.248826           0.019134          0.149167         0.007889
17              1.205340            0.002598           0.142257          0.002647            1.214147           0.019198          0.147500         0.007442
18              1.172943            0.002580           0.141759          0.001747            1.181885           0.019422          0.146979         0.007760
19              1.141658            0.002467           0.140937          0.000761            1.150753           0.019492          0.146250         0.008567
20              1.112215            0.002478           0.140139          0.000930            1.121481           0.019477          0.144896         0.008155
21              1.084115            0.002545           0.138831          0.001362            1.093609           0.019584          0.143646         0.009158
22              1.057084            0.002511           0.138102          0.002299            1.066712           0.019843          0.142708         0.008665
23              1.031579            0.002628           0.136597          0.002757            1.041441           0.019643          0.140937         0.009422
24              1.006827            0.002684           0.133634          0.004048            1.016865           0.019757          0.138646         0.009876
25              0.983853            0.002806           0.135984          0.001876            0.994070           0.019653          0.140937         0.008373
26              0.962353            0.002786           0.135463          0.002990            0.972895           0.019870          0.140729         0.008142
27              0.940873            0.002787           0.134815          0.004003            0.951730           0.020123          0.140313         0.007920
28              0.920490            0.002641           0.130775          0.004905            0.931590           0.020398          0.135521         0.007133
29              0.900987            0.002734           0.131678          0.004653            0.912372           0.020540          0.136458         0.008463
30              0.882378            0.002853           0.129062          0.004973            0.893915           0.020679          0.134167         0.007652
31              0.864437            0.002744           0.127674          0.005410            0.876072           0.020831          0.133437         0.008128
32              0.847203            0.002632           0.126620          0.005092            0.858943           0.021104          0.132500         0.007985
33              0.830375            0.002775           0.125463          0.005483            0.842262           0.021172          0.131562         0.008463
34              0.814334            0.002843           0.125058          0.005496            0.826472           0.021291          0.131042         0.008486
35              0.799447            0.002871           0.123079          0.004886            0.811673           0.021356          0.129271         0.007163
36              0.784776            0.002819           0.122813          0.005003            0.797220           0.021560          0.128542         0.006944
37              0.770582            0.002777           0.122095          0.004670            0.783177           0.021683          0.127917         0.007123
38              0.757008            0.002720           0.120231          0.003194            0.769811           0.021841          0.126042         0.007711
39              0.744117            0.002814           0.120556          0.003745            0.757061           0.021866          0.127083         0.006957
40              0.731523            0.002853           0.118738          0.002643            0.744613           0.021956          0.124687         0.008815
41              0.719372            0.002870           0.118113          0.002405            0.732533           0.022028          0.123646         0.008703
42              0.707515            0.002913           0.117593          0.002449            0.720765           0.022017          0.123021         0.008795
43              0.696016            0.002948           0.117824          0.002564            0.709421           0.022107          0.123542         0.008414
44              0.685104            0.002931           0.117813          0.002269            0.698606           0.022227          0.123646         0.007934
45              0.674539            0.002922           0.117072          0.002089            0.688124           0.022394          0.122292         0.008271
46              0.664359            0.002880           0.116528          0.001967            0.678148           0.022575          0.121458         0.008284
47              0.654403            0.002874           0.116192          0.001266            0.668279           0.022591          0.121042         0.008970
48              0.644747            0.002831           0.115394          0.000972            0.658722           0.022753          0.120104         0.009259
49              0.635392            0.002797           0.115116          0.001142            0.649501           0.022797          0.120208         0.008902
50              0.626568            0.002822           0.114745          0.001249            0.640795           0.022765          0.119063         0.009828
51              0.618049            0.002862           0.114294          0.001629            0.632480           0.022813          0.118646         0.010222
52              0.609689            0.002817           0.113345          0.001293            0.624267           0.022782          0.118438         0.009177
53              0.601656            0.002747           0.113206          0.001364            0.616395           0.022931          0.117917         0.008849
54              0.593726            0.002756           0.112836          0.001373            0.608535           0.022903          0.117917         0.009556
55              0.586052            0.002722           0.112280          0.001705            0.601089           0.022926          0.117708         0.009235
56              0.578658            0.002773           0.111609          0.002003            0.593901           0.022953          0.116979         0.009022
57              0.571529            0.002809           0.110556          0.001935            0.586932           0.022755          0.116458         0.008625
58              0.564432            0.002905           0.109907          0.002243            0.579967           0.022627          0.115833         0.008370
59              0.557864            0.002901           0.109537          0.002537            0.573590           0.022523          0.115312         0.008552
60              0.551337            0.002920           0.108588          0.002277            0.567283           0.022514          0.115104         0.008731
61              0.544897            0.003017           0.108426          0.002122            0.561072           0.022315          0.115312         0.008295
62              0.538638            0.003071           0.107836          0.002125            0.555102           0.022318          0.114479         0.009380
63              0.532509            0.002997           0.107419          0.001925            0.549163           0.022465          0.114479         0.009086
64              0.526674            0.002951           0.106979          0.001931            0.543379           0.022529          0.112917         0.010377
65              0.520928            0.003026           0.106123          0.001934            0.537763           0.022412          0.112813         0.009772
66              0.515339            0.003075           0.105486          0.001625            0.532248           0.022332          0.111667         0.009669
67              0.510011            0.002984           0.105058          0.002007            0.527091           0.022440          0.111146         0.010046
68              0.504616            0.002994           0.104815          0.001935            0.521717           0.022404          0.111146         0.009828
69              0.499534            0.003032           0.104525          0.002052            0.516701           0.022350          0.110625         0.009658
70              0.494637            0.002996           0.104132          0.002015            0.511930           0.022338          0.109792         0.010112
71              0.489870            0.003063           0.103576          0.002126            0.507317           0.022281          0.109583         0.009781
72              0.485304            0.003061           0.102986          0.002449            0.502905           0.022311          0.109167         0.009138
73              0.480870            0.003077           0.102477          0.002436            0.498593           0.022278          0.108646         0.009283
74              0.476553            0.003061           0.102106          0.002612            0.494434           0.022271          0.108750         0.009527
75              0.472283            0.003036           0.101829          0.002338            0.490328           0.022336          0.108854         0.009527
76              0.467890            0.002996           0.101481          0.002381            0.486080           0.022252          0.108542         0.009924
77              0.463827            0.003119           0.100995          0.002627            0.482241           0.022129          0.108021         0.010291
78              0.459960            0.003035           0.100567          0.002514            0.478478           0.022170          0.107292         0.009467
79              0.455985            0.003032           0.100012          0.002167            0.474722           0.022192          0.107187         0.009964
80              0.452254            0.003026           0.099398          0.002260            0.471175           0.022138          0.106667         0.009237
81              0.448614            0.002822           0.099132          0.002124            0.467653           0.022322          0.106042         0.009361
82              0.445014            0.002869           0.098854          0.002119            0.464223           0.022304          0.105417         0.010032
83              0.441453            0.002858           0.098426          0.001767            0.460862           0.022318          0.105000         0.010193
84              0.437953            0.002854           0.097789          0.001766            0.457520           0.022380          0.105000         0.010247
85              0.434633            0.002816           0.097523          0.001725            0.454372           0.022448          0.104271         0.010264
86              0.431314            0.002790           0.097500          0.001752            0.451205           0.022534          0.104271         0.010061
87              0.428115            0.002763           0.097118          0.001782            0.448187           0.022596          0.104271         0.010018
88              0.425121            0.002659           0.096875          0.001812            0.445391           0.022630          0.103958         0.010331
89              0.422034            0.002654           0.096794          0.001786            0.442400           0.022646          0.103542         0.010656
90              0.418999            0.002705           0.096331          0.001718            0.439507           0.022680          0.103542         0.010635
91              0.416053            0.002676           0.096100          0.001823            0.436725           0.022664          0.103229         0.010900
92              0.413122            0.002590           0.095833          0.001603            0.434005           0.022788          0.103333         0.011437
93              0.410225            0.002587           0.095567          0.001460            0.431237           0.022752          0.102500         0.011231
94              0.407410            0.002594           0.095278          0.001537            0.428571           0.022710          0.102083         0.010613
95              0.404607            0.002620           0.095046          0.001512            0.425914           0.022621          0.102187         0.010939
96              0.402020            0.002601           0.094769          0.001420            0.423491           0.022643          0.101771         0.010644
97              0.399401            0.002581           0.094433          0.001397            0.420994           0.022629          0.101458         0.010717
98              0.396741            0.002660           0.093750          0.001439            0.418514           0.022504          0.101042         0.011014
99              0.394234            0.002657           0.093472          0.001343            0.416166           0.022532          0.100729         0.011034
100             0.391722            0.002655           0.093090          0.001215            0.413876           0.022426          0.100521         0.011154
101             0.389271            0.002676           0.092731          0.001322            0.411571           0.022363          0.100208         0.011140
102             0.386827            0.002611           0.092465          0.001375            0.409311           0.022409          0.100000         0.011024
103             0.384400            0.002582           0.091944          0.001490            0.407039           0.022390          0.099896         0.010890
104             0.381978            0.002563           0.091563          0.001384            0.404741           0.022468          0.098854         0.010253
105             0.379729            0.002574           0.091204          0.001362            0.402680           0.022365          0.098542         0.010261
106             0.377546            0.002575           0.091100          0.001198            0.400607           0.022332          0.098542         0.010187
107             0.375300            0.002578           0.090775          0.001317            0.398488           0.022342          0.098437         0.010005
108             0.373135            0.002561           0.090521          0.001221            0.396425           0.022327          0.098438         0.009561
109             0.371025            0.002575           0.090116          0.001195            0.394521           0.022314          0.098021         0.009507
110             0.369013            0.002565           0.090012          0.001206            0.392598           0.022299          0.097917         0.009433
111             0.366905            0.002555           0.089676          0.001177            0.390621           0.022199          0.097292         0.009796
112             0.364880            0.002555           0.089387          0.001110            0.388812           0.022161          0.097188         0.009872
113             0.362989            0.002530           0.089271          0.001193            0.387093           0.022235          0.097083         0.009624
114             0.361073            0.002504           0.088993          0.001129            0.385366           0.022186          0.097188         0.009794
115             0.359180            0.002421           0.088588          0.001166            0.383636           0.022141          0.096771         0.009586
116             0.357270            0.002378           0.088287          0.001162            0.381874           0.022076          0.096354         0.009214
117             0.355478            0.002411           0.088113          0.001235            0.380225           0.022034          0.095833         0.009305
118             0.353763            0.002380           0.087836          0.001240            0.378727           0.022129          0.095833         0.009638
119             0.351957            0.002385           0.087662          0.001185            0.377006           0.022087          0.095625         0.009442

Test Accuracy: 0.9117

Classification Report:
              precision    recall  f1-score   support

           0       0.96      0.93      0.94       200
           1       0.98      1.00      0.99       200
           2       0.87      0.69      0.77       200
           3       1.00      1.00      1.00       200
           4       0.93      0.96      0.95       200
           5       0.97      0.95      0.96       200
           6       0.72      0.92      0.81       200
